Region,State,Site Name                                                                ,Site ID,EPA ID,Address,City,Zip,County,FF Ind,NAI,Latitude,Longitude,NPL Status
‭09‬,CA,HUNTERS POINT NAVAL SHIPYARD,‭0902722‬,CA1170090087,HUNTERS POINT NAVAL SHIPYARD ,SAN FRANCISCO,94124,SAN FRANCISCO,Y,N,37.72229,-122.36732,11/21/89
‭09‬,CA,INDUSTRIAL WASTE PROCESSING,‭0902025‬,CAD980736284,7140 N HARRISON ,FRESNO,93650,FRESNO,N,N,36.8425,-119.8094,08/30/90
‭09‬,CA,INTEL CORP. (MOUNTAIN VIEW PLANT),‭0901482‬,CAD061620217,365 E MIDDLEFIELD RD ,MOUNTAIN VIEW,94040,SANTA CLARA,N,N,37.3962,-122.0566,06/10/86
‭09‬,CA,INTEL MAGNETICS,‭0901661‬,CAD092212497,3000 OAKMEAD VILLAGE DR ,SANTA CLARA,95051,SANTA CLARA,N,N,37.3756,-121.9801,06/10/86
‭09‬,CA,INTERSIL INC./SIEMENS COMPONENTS,‭0901325‬,CAD041472341,10900 N TANTAU AVE/19000 HOMESTEAD RD ,CUPERTINO,95014,SANTA CLARA,N,N,37.3361,-122.0015,08/30/90
‭09‬,CA,IRON MOUNTAIN MINE,‭0901755‬,CAD980498612,OFF HWY 299 9 MI NW OF ,REDDING,96001,SHASTA,N,Y,40.671669,-122.5278,09/08/83
‭09‬,CA,J.H. BAXTER & CO.,‭0900917‬,CAD000625731,422 MILL ST ,WEED,96094,SISKIYOU,N,N,41.4364,-122.3707,10/04/89
‭09‬,CA,JERVIS B. WEBB CO.,‭0904837‬,CAD008339467,9301 RAYO AVE AND 5030 FIRESTONE BLVD ,SOUTH GATE,90280,LOS ANGELES,N,N,33.950325,-118.178017,05/10/12
‭09‬,CA,JET PROPULSION LABORATORY (NASA),‭0903438‬,CA9800013030,4800 OAK GROVE DR ,PASADENA,91109,LOS ANGELES,Y,N,34.201185,-118.167434,10/14/92
‭09‬,CA,KLAU/BUENA VISTA MINE,‭0903986‬,CA1141190578,344 KLAU MINE RD. ,PASO ROBLES,93446,SAN LUIS OBISPO,N,N,35.6259,-120.8967,04/19/06
‭09‬,CA,"KOPPERS CO., INC. (OROVILLE PLANT)",‭0901135‬,CAD009112087,BAGGETT-MARYSVILLE RD ,OROVILLE,95965,BUTTE,N,N,39.470831,-121.5643,09/21/84
‭09‬,CA,LABORATORY FOR ENERGY-RELATED HEALTH RESEARCH/OLD CAMPUS LANDFILL (USDOE),‭0904786‬,CA2890190000,OLD DAVIS RD ,DAVIS,95616,SOLANO,Y,N,38.51875,-121.75125,05/31/94
‭09‬,CA,LAVA CAP MINE,‭0904343‬,CAD983618893,14501 LAVA CAP MINE ROAD ,NEVADA CITY,95959,NEVADA,N,N,39.228056,-120.969861,01/19/99
‭09‬,CA,LAWRENCE LIVERMORE NATL LAB (SITE 300) (USDOE),‭0902742‬,CA2890090002,CORRAL HOLLOW ROAD ,TRACY,95376,SAN JOAQUIN,Y,N,37.644306,-121.576667,08/30/90
‭09‬,CA,"LAWRENCE LIVERMORE NATL LAB, MAIN SITE (USDOE)",‭0902740‬,CA2890012584,7000 EAST AVE ,LIVERMORE,94550,ALAMEDA,Y,N,37.688061,-121.7047,07/22/87
‭09‬,CA,LEVIATHAN MINE,‭0901943‬,CAD980673685,LEVIATHAN MINE ,MARKLEEVILLE,96120,ALPINE,N,Y,38.703889,-119.656111,05/11/00
‭09‬,CA,LORENTZ BARREL & DRUM CO.,‭0901287‬,CAD029295706,1515 S 10TH ST ,SAN JOSE,95112,SANTA CLARA,N,N,37.318611,-121.8644,10/04/89
‭09‬,CA,MARCH AIR FORCE BASE,‭0902761‬,CA4570024527,22 CSG/CC ,RIVERSIDE,92518,RIVERSIDE,Y,N,33.906389,-117.2557,11/21/89
‭09‬,CA,MATHER AIR FORCE BASE (AC&W DISPOSAL SITE),‭0902793‬,CA8570024143,MATHER AIR FORCE BASE ,MATHER,95655,SACRAMENTO,Y,N,38.55695,-121.2972,07/22/87
‭09‬,CA,MCCLELLAN AIR FORCE BASE (GROUND WATER CONTAMINATION),‭0902759‬,CA4570024337,APPROX 5200 WATT AVE ,MCCLELLAN AFB,95652,SACRAMENTO,Y,N,38.66,-121.3994,07/22/87
‭09‬,CA,MCCOLL,‭0901757‬,CAD980498695,ROSECRANS & SUNNY RIDGE ,FULLERTON,92833,ORANGE,N,N,33.8953,-117.9712,09/08/83
‭09‬,CA,MCCORMICK & BAXTER CREOSOTING CO.,‭0901129‬,CAD009106527,1214 W WASHINGTON ST ,STOCKTON,95203,SAN JOAQUIN,N,N,37.947851,-121.306635,10/14/92
‭09‬,CA,MODESTO GROUND WATER CONTAMINATION,‭0902527‬,CAD981997752,NEAR MODESTO ,MODESTO,95351,STANISLAUS,N,N,37.6591,-120.9964,03/31/89
‭09‬,CA,MOFFETT FIELD NAVAL AIR STATION,‭0902734‬,CA2170090078,MOFFETT FIELD NAS ,MOFFETT FIELD,94035,SANTA CLARA,Y,N,37.411389,-122.0522,07/22/87
‭09‬,CA,MONOLITHIC MEMORIES,‭0901398‬,CAD049236201,1165 E ARQUES AVE ,SUNNYVALE,94086,SANTA CLARA,N,N,37.3816,-121.9968,07/22/87
‭09‬,CA,MONTROSE CHEMICAL CORP.,‭0900993‬,CAD008242711,20201 S NORMANDIE AVE ,TORRANCE,90502,LOS ANGELES,N,N,33.848331,-118.2983,10/04/89
‭09‬,CA,NATIONAL SEMICONDUCTOR CORP.,‭0901326‬,CAD041472986,2900 SEMICONDUCTOR AVE ,SANTA CLARA,95050,SANTA CLARA,N,N,37.375281,-121.9989,07/22/87
‭09‬,CA,NEW IDRIA MERCURY MINE,‭0905346‬,CA0001900463,"TOWNSHIP: 17S, RANGE: 12E ",IDRIA,95043,SAN BENITO,N,N,36.418392,-120.672511,09/16/11
‭09‬,CA,NEWMARK GROUND WATER CONTAMINATION,‭0902439‬,CAD981434517,BUNKER HILL GROUND WATER BASIN ,SAN BERNARDINO,92408,SAN BERNARDINO,N,N,34.171811,-117.3131,03/31/89
‭09‬,CA,NORTON AIR FORCE BASE (LNDFLL #2),‭0902760‬,CA4570024345,I-10/US 395 FORMER NORTON AFB ,SAN BERNARDINO,92408,SAN BERNARDINO,Y,N,34.098061,-117.2372,07/22/87
‭09‬,CA,OMEGA CHEMICAL CORPORATION,‭0903349‬,CAD042245001,12504 AND 12512 E. WHITTIER BOULEVARD ,WHITTIER,90602,LOS ANGELES,N,N,33.969722,-118.042222,01/19/99
‭09‬,CA,"OPERATING INDUSTRIES, INC., LANDFILL",‭0902673‬,CAT080012024,900 N POTRERO GRANDE DR ,MONTEREY PARK,91754,LOS ANGELES,N,N,34.033333,-118.105556,06/10/86
‭09‬,CA,ORANGE COUNTY NORTH BASIN,‭0900251‬,CAN000900251,1012 EAST ELM AVENUE ,ORANGE COUNTY,92831,ORANGE,N,N,33.854828,-117.930589,09/03/20
‭09‬,CA,PACIFIC COAST PIPELINE,‭0901841‬,CAD980636781,67 E TELEGRAPH RD ,FILLMORE,93015,VENTURA,N,N,34.404169,-118.9028,10/04/89
‭09‬,CA,PEMACO MAYWOOD,‭0904950‬,CAD980737092,5050 SLAUSON BOULEVARD ,MAYWOOD,90270,LOS ANGELES,N,N,33.985417,-118.17125,01/19/99
‭09‬,CA,"PURITY OIL SALES, INC.",‭0902019‬,CAD980736151,3265 S MAPLE AVE ,MALAGA,93725,FRESNO,N,N,36.6874,-119.7467,09/08/83
‭09‬,CA,RAYTHEON CORP.,‭0901202‬,CAD009205097,350 ELLIS ST ,MOUNTAIN VIEW,94043,SANTA CLARA,N,N,37.3975,-122.0533,06/10/86
‭09‬,CA,RIVERBANK ARMY AMMUNITION PLANT,‭0902785‬,CA7210020759,5300 CLAUS RD ,RIVERBANK,95367,STANISLAUS,Y,N,37.71695,-120.9181,02/21/90
‭09‬,CA,"ROCKETS, FIREWORKS, AND FLARES SITE",‭0905945‬,CAN000905945,3196 NORTH LOCUST AVENUE ,RIALTO,92377,SAN BERNARDINO,N,N,34.153683,-117.416567,09/23/09
‭09‬,CA,SACRAMENTO ARMY DEPOT,‭0902715‬,CA0210020780,8350 FRUITRIDGE RD ,SACRAMENTO,95813,SACRAMENTO,Y,N,38.520281,-121.3958,07/22/87
‭09‬,CA,SAN FERNANDO VALLEY (AREA 1),‭0902251‬,CAD980894893,NORTH HOLLYWOOD WELLFIELD AREA ,NORTH HOLLYWOOD,91601,LOS ANGELES,N,N,34.19,-118.3514,06/10/86
‭09‬,CA,SAN FERNANDO VALLEY (AREA 2),‭0902252‬,CAD980894901,CRYSTAL SPRINGS WELLFIELD AREA ,GLENDALE,91209,LOS ANGELES,N,N,34.163139,-118.286,06/10/86
‭09‬,CA,SAN FERNANDO VALLEY (AREA 4),‭0902253‬,CAD980894976,POLLOCK WELLFIELD ,LOS ANGELES,90086,LOS ANGELES,N,N,34.112081,-118.2539,06/10/86
‭09‬,CA,SAN GABRIEL VALLEY (AREA 1),‭0901951‬,CAD980677355,PECK RD & REAL ,EL MONTE,91733,LOS ANGELES,N,N,34.125,-118,05/08/84
‭09‬,CA,SAN GABRIEL VALLEY (AREA 2),‭0902092‬,CAD980818512,SUNSET & SAN BERNARDINO FREEWAY ,BALDWIN PARK,91706,LOS ANGELES,N,N,34.073611,-117.9361,05/08/84
‭09‬,CA,SAN GABRIEL VALLEY (AREA 3),‭0902093‬,CAD980818579,MAIN ST & GAFIELD AVE ,ALHAMBRA,91801,LOS ANGELES,N,N,34.1,-118.125,05/08/84
‭09‬,CA,SAN GABRIEL VALLEY (AREA 4),‭0902091‬,CAD980817985,STIMSON AVE & OLD VALLEY BLVD ,LA PUENTE,91744,LOS ANGELES,N,N,34.016669,-117.9583,05/08/84
‭09‬,CA,SELMA PRESSURE TREATING COMPANY,‭0901290‬,CAD029452141,1735 DOCKERY AVE & ADJOINING ,SELMA,93662,FRESNO,N,N,36.556669,-119.6017,09/08/83
‭09‬,CA,SHARPE ARMY DEPOT,‭0902792‬,CA8210020832,700 EAST ROTH RD ,LATHROP,95330,SAN JOAQUIN,Y,N,37.829169,-121.2672,07/22/87
‭09‬,CA,SOUTH BAY ASBESTOS AREA,‭0902250‬,CAD980894885,FT OF LIBERTY ST GUADALUPE RIV ,ALVISO,95002,SANTA CLARA,N,N,37.429861,-121.9811,06/10/86
‭09‬,CA,SOUTHERN AVENUE INDUSTRIAL AREA,‭0905902‬,CAN000905902,5211 SOUTHERN AVENUE ,SOUTH GATE,90280,LOS ANGELES,N,N,33.946178,-118.176922,05/10/12
‭09‬,CA,"SPECTRA-PHYSICS, INC.",‭0900252‬,CAD009138488,1250 W MIDDLEFIELD RD ,MOUNTAIN VIEW,94042,SANTA CLARA,N,N,37.40805,-122.0786,02/11/91
‭09‬,CA,STRINGFELLOW,‭0902680‬,CAT080012826,3490 PYRITE ST ,MIRA LOMA,91752,RIVERSIDE,N,N,34.023056,-117.45833,09/08/83
‭09‬,CA,SULPHUR BANK MERCURY MINE,‭0902228‬,CAD980893275,SULPHUR BANK ROAD ,CLEARLAKE OAKS,95422,LAKE,N,Y,39.00555,-122.6703,08/30/90
‭09‬,CA,"SYNERTEK, INC. (BUILDING 1)",‭0902620‬,CAD990832735,3050 CORONADO BLVD ,SANTA CLARA,95051,SANTA CLARA,N,N,37.3773,-121.9719,10/04/89
‭09‬,CA,TELEDYNE SEMICONDUCTOR,‭0901134‬,CAD009111444,1300 TERRA BELLA AVE ,MOUNTAIN VIEW,94043,SANTA CLARA,N,N,37.4108,-122.0797,07/22/87
‭09‬,CA,TRACY DEFENSE DEPOT (USARMY),‭0902762‬,CA4971520834,CHRISMAN RD ,TRACY,95376,SAN JOAQUIN,Y,N,37.715281,-121.3911,08/30/90
‭09‬,CA,TRAVIS AIR FORCE BASE,‭0902767‬,CA5570024575,TRAVIS AFB ,TRAVIS AFB,94535,SOLANO,Y,N,38.26445,-121.9332,11/21/89
‭09‬,CA,"TRW MICROWAVE, INC (BUILDING 825)",‭0901181‬,CAD009159088,825 STEWART DR ,SUNNYVALE,94086,SANTA CLARA,N,N,37.3846,-122.0085,02/21/90
‭09‬,CA,UNITED HECKATHORN CO.,‭0902440‬,CAD981436363,8TH & WRIGHT ,RICHMOND,94804,CONTRA COSTA,N,N,37.9226,-122.3654,03/14/90
